iter	Passed	Remaining
183	3021	46240
184	3039	46243
185	3055	46219
186	3070	46195
187	3086	46172
188	3103	46156
189	3119	46139
190	3137	46139
191	3154	46128
192	3168	46077
193	3184	46062
194	3201	46048
195	3217	46023
196	3234	46018
197	3251	46007
198	3268	46004
199	3284	45988
200	3298	45936
201	3315	45923
202	3332	45922
203	3353	45960
204	3367	45912
205	3382	45877
206	3397	45848
207	3414	45834
208	3429	45801
209	3444	45768
210	3458	45719
211	3476	45722
212	3493	45710
213	3507	45661
214	3522	45624
215	3539	45626
216	3556	45611
217	3572	45587
218	3588	45572
219	3604	45552
220	3621	45538
221	3638	45535
222	3656	45531
223	3673	45521
224	3690	45512
225	3704	45470
226	3719	45441
227	3736	45427
228	3752	45404
229	3766	45363
230	3783	45351
231	3798	45318
232	3815	45310
233	3830	45274
234	3847	45271
235	3862	45237
236	3876	45195
237	3892	45170
238	3907	45144
239	3923	45124
240	3941	45120
241	3957	45105
242	3972	45072
243	3987	45040
244	4002	45009
245	4018	44991
246	4033	44957
247	4051	44954
248	4067	44938
249	4081	44896
250	4098	44892
251	4114	44865
252	4131	44855
253	4147	44839
254	4161	44801
255	4175	44758
256	4191	44735
257	4206	44706
258	4222	44689
259	4238	44666
260	4253	44640
261	4268	44604
262	4284	44587
263	4300	44567
264	4317	44557
265	4335	44565
266	4353	44563
267	4369	44538
268	4383	44501
269	4398	44476
270	4414	44450
271	4430	44434
272	4445	44409
273	4462	44394
274	4479	44386
275	4495	44365
276	4510	44343
277	4527	44327
278	4542	44298
279	4559	44290
280	4574	44266
281	4590	44240
282	4606	44229
283	4622	44210
284	4639	44193
285	4656	44186
286	4671	44164
287	4686	44134
288	4700	44096
289	4717	44086
290	4734	44072
291	4749	44044
292	4767	44047
293	4782	44019
294	4799	44012
295	4815	43986
296	4830	43964
297	4844	43928
298	4860	43911
299	4875	43878
300	4891	43859
301	4907	43841
302	4922	43815
303	4938	43798
304	4954	43774
305	4969	43751
306	4984	43727
307	4999	43697
308	5015	43677
309	5028	43633
310	5045	43621
311	5061	43605
312	5078	43596
313	5093	43572
314	5109	43550
315	5125	43530
316	5141	43516
317	5158	43504
318	5173	43483
319	5189	43460
320	5206	43451
321	5221	43424
322	5236	43402
323	5252	43378
324	5268	43365
325	5284	43342
326	5300	43325
327	5316	43313
328	5331	43284
329	5347	43266
330	5362	43237
331	5378	43225
332	5395	43208
333	5411	43190
334	5425	43160
335	5440	43135
336	5456	43119
337	5471	43088
338	5485	43060
339	5501	43043
340	5517	43022
341	5531	42993
342	5546	42968
343	5562	42949
344	5579	42935
345	5595	42920
346	5611	42902
347	5629	42899
348	5647	42897
349	5662	42874
350	5678	42853
351	5693	42833
352	5709	42812
353	5726	42801
354	5743	42796
355	5758	42764
356	5773	42746
357	5791	42738
358	5806	42713
359	5821	42690
360	5837	42675
361	5852	42647
362	5865	42613
363	5883	42605
364	5897	42578
365	5913	42556
366	5928	42532
367	5943	42509
368	5959	42489
369	5975	42473
370	5990	42449
371	6007	42441
372	6022	42417
373	6036	42383
374	6052	42367
375	6068	42349
376	6085	42337
377	6099	42309
378	6115	42290
379	6131	42277
380	6148	42262
381	6163	42237
382	6179	42220
383	6196	42214
384	6211	42192
385	6229	42189
386	6245	42170
387	6261	42153
388	6278	42144
389	6294	42121
390	6308	42091
391	6323	42069
392	6339	42054
393	6355	42038
394	6371	42017
395	6389	42013
396	6404	41991
397	6418	41963
398	6434	41943
399	6448	41915
400	6464	41897
401	6482	41892
402	6498	41876
403	6513	41857
404	6530	41845
405	6545	41819
